Date,CompanyID,CustomerID,TicketsOpened,TicketsResolved,UnresolvedCases,SLA_TargetHours,SLA_ActualHours,NPS_Score,ServiceQualityScore
2024-01-02,2,1008,2,2,0,24,19.68,6,73
2024-01-02,2,1009,0,0,0,24,23.17,5,81
2024-01-02,2,1010,2,2,0,24,18.85,3,79
2024-01-02,2,1011,4,4,0,24,27.91,4,71
2024-01-02,2,1012,2,1,1,24,20.72,6,100
2024-01-02,2,1013,2,2,0,24,14.11,9,77
2024-01-02,2,1014,2,2,0,24,24.53,6,89
2024-01-02,2,1015,0,0,0,24,15.19,1,82
2024-01-02,2,1016,1,1,0,24,14.84,10,72
2024-01-02,2,1017,1,1,0,24,17.45,4,71
2024-01-02,2,1018,4,3,1,24,26.56,6,100
2024-01-02,2,1019,2,2,0,24,22.68,5,90
2024-01-02,2,1020,3,2,1,24,24.11,3,63
2024-01-02,3,1001,0,0,0,24,22.37,6,75
2024-01-02,3,1002,4,4,0,24,22.5,3,73
2024-01-02,3,1003,3,3,0,24,22.06,7,79
2024-01-02,3,1004,2,2,0,24,17.57,8,77
2024-01-02,3,1005,1,1,0,24,33.24,8,68
2024-01-02,3,1006,4,2,2,24,19.9,4,76
2024-01-02,3,1007,2,2,0,24,20.7,5,96
2024-01-02,3,1008,4,4,0,24,18.98,6,69
2024-01-02,3,1009,2,2,0,24,35.95,9,83
2024-01-02,3,1010,5,5,0,24,31.27,5,85
2024-01-02,3,1011,4,3,1,24,24.55,4,70
2024-01-02,3,1012,2,2,0,24,24.03,4,71
2024-01-02,3,1013,7,7,0,24,13.53,4,99
2024-01-02,3,1014,5,5,0,24,23.45,7,75
2024-01-02,3,1015,0,0,0,24,23.12,9,100
2024-01-02,3,1016,3,2,1,24,34.43,5,70
2024-01-02,3,1017,0,0,0,24,22.94,9,68
2024-01-02,3,1018,4,3,1,24,27.33,7,80
2024-01-02,3,1019,0,0,0,24,24.71,9,84
2024-01-02,3,1020,0,0,0,24,23.75,6,81
2024-01-03,1,1001,3,3,0,24,20.87,8,68
2024-01-03,1,1002,6,5,1,24,13.19,5,87
2024-01-03,1,1003,0,0,0,24,14.79,4,69
2024-01-03,1,1004,0,0,0,24,10.92,4,90
2024-01-03,1,1005,1,1,0,24,17.7,3,85
2024-01-03,1,1006,2,2,0,24,20.72,4,79
2024-01-03,1,1007,1,1,0,24,18.5,5,84
2024-01-03,1,1008,0,0,0,24,22.25,5,71
2024-01-03,1,1009,0,0,0,24,26.83,7,87
2024-01-03,1,1010,2,0,2,24,28.01,6,89
2024-01-03,1,1011,0,0,0,24,21.25,7,83
2024-01-03,1,1012,2,2,0,24,12.54,8,83
2024-01-03,1,1013,2,2,0,24,17.35,10,93
2024-01-03,1,1014,2,2,0,24,18.29,4,78
2024-01-03,1,1015,1,1,0,24,16.84,5,77
2024-01-03,1,1016,5,4,1,24,24.75,6,66
2024-01-03,1,1017,3,2,1,24,13.47,4,100
2024-01-03,1,1018,3,3,0,24,21.71,5,76
2024-01-03,1,1019,3,3,0,24,39.54,7,89
2024-01-03,1,1020,1,1,0,24,22.55,4,97
2024-01-03,2,1001,2,2,0,24,24.59,6,81
2024-01-03,2,1002,1,1,0,24,15.47,10,100
2024-01-03,2,1003,1,1,0,24,21.49,6,80
2024-01-03,2,1004,2,2,0,24,13.34,7,100
2024-01-03,2,1005,3,2,1,24,29.74,6,83
2024-01-03,2,1006,0,0,0,24,17.13,8,67
2024-01-03,2,1007,1,1,0,24,27.57,6,94
2024-01-03,2,1008,2,2,0,24,17.81,8,83
2024-01-03,2,1009,1,1,0,24,20.52,4,67
2024-01-03,2,1010,3,3,0,24,27.9,7,100
2024-01-03,2,1011,0,0,0,24,20.59,9,65
2024-01-03,2,1012,7,7,0,24,10.68,6,98
2024-01-03,2,1013,1,1,0,24,17.26,5,62
2024-01-03,2,1014,3,3,0,24,20.67,10,76
2024-01-03,2,1015,6,4,2,24,11.84,6,83
2024-01-03,2,1016,4,4,0,24,22.7,4,76
2024-01-03,2,1017,1,1,0,24,17.04,3,95
2024-01-03,2,1018,1,1,0,24,16.77,4,72
2024-01-03,2,1019,1,1,0,24,16.78,7,100
2024-01-03,2,1020,2,2,0,24,24.69,5,80
2024-01-03,3,1001,2,1,1,24,33.38,3,84
2024-01-03,3,1002,0,0,0,24,16.01,7,99
2024-01-03,3,1003,2,2,0,24,20.94,7,86
2024-01-03,3,1004,4,4,0,24,29.84,4,82
2024-01-03,3,1005,2,2,0,24,20.61,8,93
2024-01-03,3,1006,1,1,0,24,15.32,5,76
2024-01-03,3,1007,3,3,0,24,19.52,6,84
2024-01-03,3,1008,2,2,0,24,18.13,7,85
2024-01-03,3,1009,1,1,0,24,28.31,4,80
2024-01-03,3,1010,1,1,0,24,18.88,3,90
2024-01-03,3,1011,1,1,0,24,20.45,2,95
2024-01-03,3,1012,2,1,1,24,22.57,3,87
2024-01-03,3,1013,1,1,0,24,16.92,7,85
2024-01-03,3,1014,1,1,0,24,23.35,6,77
2024-01-03,3,1015,1,1,0,24,22.04,3,75
2024-01-03,3,1016,0,0,0,24,33.05,7,95
2024-01-03,3,1017,1,1,0,24,18.2,5,61
2024-01-03,3,1018,2,1,1,24,20.0,3,57
2024-01-03,3,1019,2,2,0,24,28.92,6,86
2024-01-03,3,1020,1,1,0,24,35.4,5,78
2024-01-04,1,1001,0,0,0,24,21.28,8,84
2024-01-04,1,1002,0,0,0,24,27.52,5,84
2024-01-04,1,1003,2,2,0,24,1.79,3,90
2024-01-04,1,1004,2,2,0,24,21.83,8,86
2024-01-04,1,1005,1,1,0,24,15.19,7,82
2024-01-04,1,1006,4,3,1,24,26.38,8,89
2024-01-04,1,1007,1,1,0,24,24.41,6,86
2024-01-04,1,1008,4,3,1,24,22.43,6,78
2024-01-04,1,1009,0,0,0,24,23.87,9,73
2024-01-04,1,1010,0,0,0,24,17.88,9,74
2024-01-04,1,1011,1,1,0,24,23.3,5,80
2024-01-04,1,1012,1,0,1,24,21.63,4,81
2024-01-04,1,1013,2,1,1,24,17.46,8,91
2024-01-04,1,1014,2,1,1,24,27.6,4,96
2024-01-04,1,1015,3,3,0,24,29.6,9,77
2024-01-04,1,1016,2,2,0,24,5.55,7,84
2024-01-04,1,1017,0,0,0,24,20.62,5,88
2024-01-04,1,1018,3,3,0,24,18.14,5,83
2024-01-04,1,1019,0,0,0,24,24.9,7,73
2024-01-04,1,1020,1,1,0,24,36.26,5,72
2024-01-04,2,1001,2,2,0,24,21.27,10,91
2024-01-04,2,1002,4,3,1,24,11.69,9,94
2024-01-04,2,1003,1,1,0,24,29.42,8,90
2024-01-04,2,1004,1,1,0,24,18.54,8,86
2024-01-04,2,1005,4,4,0,24,25.4,6,77
2024-01-04,2,1006,2,2,0,24,21.63,7,62
2024-01-04,2,1007,3,3,0,24,12.56,7,77
2024-01-04,2,1008,0,0,0,24,28.36,9,87
2024-01-04,2,1009,3,2,1,24,19.77,6,83
2024-01-04,2,1010,2,1,1,24,19.38,7,76
2024-01-04,2,1011,2,1,1,24,9.53,7,71
2024-01-04,2,1012,1,1,0,24,16.14,6,100
2024-01-04,2,1013,3,3,0,24,19.09,8,78
2024-01-04,2,1014,1,1,0,24,16.74,6,89
2024-01-04,2,1015,1,1,0,24,22.68,6,88
2024-01-04,2,1016,6,6,0,24,18.62,4,86
2024-01-04,2,1017,2,2,0,24,22.01,8,84
2024-01-04,2,1018,3,3,0,24,27.46,9,68
2024-01-04,2,1019,1,1,0,24,27.46,7,78
2024-01-04,2,1020,5,2,3,24,24.11,7,78
2024-01-04,3,1001,2,2,0,24,25.79,8,84
2024-01-04,3,1002,2,2,0,24,27.12,10,73
2024-01-04,3,1003,3,2,1,24,17.6,8,68
2024-01-04,3,1004,0,0,0,24,23.07,6,71
2024-01-04,3,1005,0,0,0,24,22.51,8,92
2024-01-04,3,1006,1,0,1,24,18.08,6,69
2024-01-04,3,1007,1,0,1,24,26.07,3,68
2024-01-04,3,1008,2,2,0,24,23.31,10,80
2024-01-04,3,1009,2,2,0,24,22.6,9,87
2024-01-04,3,1010,2,2,0,24,23.4,8,91
2024-01-04,3,1011,1,1,0,24,17.48,6,76
2024-01-04,3,1012,1,1,0,24,22.93,8,90
2024-01-04,3,1013,2,2,0,24,15.2,6,85
2024-01-04,3,1014,0,0,0,24,23.72,8,78
2024-01-04,3,1015,2,1,1,24,29.56,5,95
2024-01-04,3,1016,1,1,0,24,23.61,4,68
2024-01-04,3,1017,2,1,1,24,28.79,6,81
2024-01-04,3,1018,4,4,0,24,26.21,5,68
2024-01-04,3,1019,3,3,0,24,22.45,3,79
2024-01-04,3,1020,4,3,1,24,21.15,8,70
2024-01-05,1,1001,2,2,0,24,26.1,8,83
2024-01-05,1,1002,3,2,1,24,27.78,7,86
2024-01-05,1,1003,2,1,1,24,29.57,4,77
2024-01-05,1,1004,3,2,1,24,17.54,10,82
2024-01-05,1,1005,0,0,0,24,25.79,8,82
2024-01-05,1,1006,3,3,0,24,30.24,7,93
2024-01-05,1,1007,2,2,0,24,23.38,8,87
2024-01-05,1,1008,3,3,0,24,36.68,5,95
2024-01-05,1,1009,1,1,0,24,24.2,6,95
2024-01-05,1,1010,2,2,0,24,29.13,8,100
2024-01-05,1,1011,1,1,0,24,22.02,9,59
2024-01-05,1,1012,2,2,0,24,19.43,5,86
2024-01-05,1,1013,3,3,0,24,16.45,5,81
2024-01-05,1,1014,1,1,0,24,29.52,7,98
2024-01-05,1,1015,0,0,0,24,26.26,6,89
2024-01-05,1,1016,0,0,0,24,12.95,6,63
2024-01-05,1,1017,1,1,0,24,15.75,8,94
2024-01-05,1,1018,4,4,0,24,15.24,8,82
2024-01-05,1,1019,2,2,0,24,25.82,10,69
2024-01-05,1,1020,0,0,0,24,21.9,3,94
2024-01-05,2,1001,0,0,0,24,22.14,8,77
2024-01-05,2,1002,4,4,0,24,15.92,5,92
2024-01-05,2,1003,1,1,0,24,32.85,4,54
2024-01-05,2,1004,2,2,0,24,24.12,7,63
2024-01-05,2,1005,2,1,1,24,18.37,5,81
2024-01-05,2,1006,2,2,0,24,21.29,10,79
2024-01-05,2,1007,1,1,0,24,21.37,5,78
2024-01-05,2,1008,0,0,0,24,21.85,5,84
2024-01-05,2,1009,0,0,0,24,20.87,7,72
2024-01-05,2,1010,2,1,1,24,31.65,6,79
2024-01-05,2,1011,4,4,0,24,25.56,6,94
2024-01-05,2,1012,3,3,0,24,18.08,4,75
2024-01-05,2,1013,4,3,1,24,20.41,5,66
2024-01-05,2,1014,3,2,1,24,24.98,1,82
2024-01-05,2,1015,2,2,0,24,15.72,5,76
2024-01-05,2,1016,5,4,1,24,25.95,6,76
2024-01-05,2,1017,1,1,0,24,29.71,5,71
2024-01-05,2,1018,0,0,0,24,22.68,8,90
2024-01-05,2,1019,2,2,0,24,27.02,10,64
2024-01-05,2,1020,4,4,0,24,20.2,3,83
2024-01-05,3,1001,2,2,0,24,20.98,6,84
2024-01-05,3,1002,2,2,0,24,19.78,5,88
2024-01-05,3,1003,4,4,0,24,16.42,9,90
2024-01-05,3,1004,1,1,0,24,28.87,8,85
2024-01-05,3,1005,0,0,0,24,25.82,7,64
2024-01-05,3,1006,2,1,1,24,22.82,10,90
2024-01-05,3,1007,4,4,0,24,8.96,6,66
2024-01-05,3,1008,2,2,0,24,23.75,7,70
2024-01-05,3,1009,3,3,0,24,14.73,6,75
2024-01-05,3,1010,3,3,0,24,19.65,8,78
2024-01-05,3,1011,3,3,0,24,25.0,9,90
2024-01-05,3,1012,4,3,1,24,22.74,6,67
2024-01-05,3,1013,0,0,0,24,25.01,8,76
2024-01-05,3,1014,1,1,0,24,20.33,7,74
2024-01-05,3,1015,1,1,0,24,31.35,9,63
2024-01-05,3,1016,1,1,0,24,14.15,6,98
2024-01-05,3,1017,2,2,0,24,19.73,5,73
2024-01-05,3,1018,1,1,0,24,19.72,5,69
2024-01-05,3,1019,1,1,0,24,26.6,10,85
2024-01-05,3,1020,3,3,0,24,24.05,7,74
2024-01-06,1,1001,2,2,0,24,24.83,5,82
2024-01-06,1,1002,5,5,0,24,18.05,6,72
2024-01-06,1,1003,0,0,0,24,21.61,10,82
2024-01-06,1,1004,3,3,0,24,9.5,4,68
2024-01-06,1,1005,0,0,0,24,17.5,2,84
2024-01-06,1,1006,4,2,2,24,21.55,9,72
2024-01-06,1,1007,1,1,0,24,17.69,4,84
2024-01-06,1,1008,3,2,1,24,36.05,7,68
2024-01-06,1,1009,3,3,0,24,20.35,7,76
2024-01-06,1,1010,0,0,0,24,10.06,6,84
2024-01-06,1,1011,3,3,0,24,28.15,9,45
2024-01-06,1,1012,1,1,0,24,21.68,5,100
2024-01-06,1,1013,3,3,0,24,20.48,6,67
2024-01-06,1,1014,4,4,0,24,26.07,9,83
2024-01-06,1,1015,0,0,0,24,24.93,4,87
2024-01-06,1,1016,3,3,0,24,24.65,5,81
2024-01-06,1,1017,2,2,0,24,33.53,7,81
2024-01-06,1,1018,4,4,0,24,16.78,5,70
2024-01-06,1,1019,1,1,0,24,15.81,2,84
2024-01-06,1,1020,2,2,0,24,26.39,9,88
2024-01-06,2,1001,3,3,0,24,27.93,8,98
2024-01-06,2,1002,2,2,0,24,25.45,5,70
2024-01-06,2,1003,1,0,1,24,34.18,5,92
2024-01-06,2,1004,0,0,0,24,25.23,5,79
2024-01-06,2,1005,2,2,0,24,32.88,6,73
2024-01-06,2,1006,2,2,0,24,17.1,6,80
2024-01-06,2,1007,2,2,0,24,15.19,7,92
2024-01-06,2,1008,1,1,0,24,20.51,5,91
2024-01-06,2,1009,1,1,0,24,13.23,6,91
2024-01-06,2,1010,3,3,0,24,18.57,5,75
2024-01-06,2,1011,2,2,0,24,22.05,7,79
2024-01-06,2,1012,4,4,0,24,17.24,9,86
2024-01-06,2,1013,2,2,0,24,17.5,8,84
2024-01-06,2,1014,0,0,0,24,26.33,3,82
2024-01-06,2,1015,1,1,0,24,14.22,4,73
2024-01-06,2,1016,1,1,0,24,24.84,10,68
2024-01-06,2,1017,1,1,0,24,23.13,6,88
2024-01-06,2,1018,1,1,0,24,17.65,10,61
2024-01-06,2,1019,2,2,0,24,29.71,5,72
2024-01-06,2,1020,4,3,1,24,27.42,10,98
2024-01-06,3,1001,5,5,0,24,31.78,5,78
2024-01-06,3,1002,1,1,0,24,18.8,9,81
2024-01-06,3,1003,1,1,0,24,30.01,7,90
2024-01-06,3,1004,1,1,0,24,9.22,5,78
2024-01-06,3,1005,1,1,0,24,25.37,6,80
2024-01-06,3,1006,4,4,0,24,16.4,8,73
2024-01-06,3,1007,2,2,0,24,19.64,7,96
2024-01-06,3,1008,3,3,0,24,27.19,4,68
2024-01-06,3,1009,4,4,0,24,25.54,7,71
2024-01-06,3,1010,2,1,1,24,27.5,7,81
2024-01-06,3,1011,0,0,0,24,26.89,6,88
2024-01-06,3,1012,2,2,0,24,23.1,9,91
2024-01-06,3,1013,0,0,0,24,24.35,8,80
2024-01-06,3,1014,1,1,0,24,14.18,5,100
2024-01-06,3,1015,1,0,1,24,14.78,9,77
2024-01-06,3,1016,0,0,0,24,25.13,5,86
2024-01-06,3,1017,1,1,0,24,23.57,4,72
2024-01-06,3,1018,1,1,0,24,13.13,5,58
2024-01-06,3,1019,2,1,1,24,16.42,7,84
2024-01-06,3,1020,4,3,1,24,13.74,7,85
2024-01-07,1,1001,3,3,0,24,16.99,4,77
2024-01-07,1,1002,2,1,1,24,31.4,7,90
2024-01-07,1,1003,2,2,0,24,24.32,7,99
2024-01-07,1,1004,4,4,0,24,22.31,4,80
2024-01-07,1,1005,3,3,0,24,11.6,4,95
2024-01-07,1,1006,1,1,0,24,28.2,8,62
2024-01-07,1,1007,1,1,0,24,20.62,9,74
2024-01-07,1,1008,0,0,0,24,19.5,7,79
2024-01-07,1,1009,4,4,0,24,27.82,6,91
2024-01-07,1,1010,1,1,0,24,23.3,6,87
2024-01-07,1,1011,2,2,0,24,19.32,3,97
2024-01-07,1,1012,0,0,0,24,19.73,2,94
2024-01-07,1,1013,3,3,0,24,30.02,5,66
2024-01-07,1,1014,4,4,0,24,25.72,8,74
2024-01-07,1,1015,1,1,0,24,23.72,6,84
2024-01-07,1,1016,0,0,0,24,29.93,1,84
2024-01-07,1,1017,1,1,0,24,26.35,7,71
2024-01-07,1,1018,2,2,0,24,8.75,5,83
2024-01-07,1,1019,0,0,0,24,24.03,7,100
2024-01-07,1,1020,0,0,0,24,21.37,6,80
2024-01-07,2,1001,5,5,0,24,16.53,10,65
2024-01-07,2,1002,2,2,0,24,37.63,8,80
2024-01-07,2,1003,1,1,0,24,18.79,8,73
2024-01-07,2,1004,2,2,0,24,18.74,7,81
2024-01-07,2,1005,2,2,0,24,18.81,9,81
2024-01-07,2,1006,3,3,0,24,22.68,9,70
2024-01-07,2,1007,1,1,0,24,21.23,4,88
2024-01-07,2,1008,1,1,0,24,8.19,7,52
2024-01-07,2,1009,1,1,0,24,20.84,8,70
2024-01-07,2,1010,1,1,0,24,20.29,10,73
2024-01-07,2,1011,4,3,1,24,21.68,1,92
2024-01-07,2,1012,0,0,0,24,24.63,8,69
2024-01-07,2,1013,3,3,0,24,15.92,5,87
2024-01-07,2,1014,1,1,0,24,14.91,9,88
2024-01-07,2,1015,6,5,1,24,24.31,5,80
2024-01-07,2,1016,2,1,1,24,19.69,4,95
2024-01-07,2,1017,3,3,0,24,18.59,8,79
2024-01-07,2,1018,1,1,0,24,21.86,8,97
2024-01-07,2,1019,1,1,0,24,15.47,4,72
2024-01-07,2,1020,2,1,1,24,19.9,4,83
2024-01-07,3,1001,5,5,0,24,12.15,4,73
2024-01-07,3,1002,2,2,0,24,21.78,6,70
2024-01-07,3,1003,1,1,0,24,24.39,9,71
2024-01-07,3,1004,1,1,0,24,20.82,8,67
2024-01-07,3,1005,2,2,0,24,21.46,6,90
2024-01-07,3,1006,2,2,0,24,32.48,2,88
2024-01-07,3,1007,3,2,1,24,17.8,3,83
2024-01-07,3,1008,0,0,0,24,24.23,7,72
2024-01-07,3,1009,4,4,0,24,23.5,5,84
2024-01-07,3,1010,1,1,0,24,22.7,6,70
2024-01-07,3,1011,2,2,0,24,32.71,7,76
2024-01-07,3,1012,1,0,1,24,12.85,7,95
2024-01-07,3,1013,3,3,0,24,13.11,6,79
2024-01-07,3,1014,1,1,0,24,23.51,9,81
2024-01-07,3,1015,1,1,0,24,20.95,7,78
2024-01-07,3,1016,2,2,0,24,19.46,6,65
2024-01-07,3,1017,1,1,0,24,23.64,7,71
2024-01-07,3,1018,1,1,0,24,12.71,7,73
2024-01-07,3,1019,4,3,1,24,29.84,7,71
2024-01-07,3,1020,4,4,0,24,15.85,4,78
2024-01-08,1,1001,3,3,0,24,14.32,6,83
2024-01-08,1,1002,1,1,0,24,19.11,5,69
2024-01-08,1,1003,3,3,0,24,22.94,6,100
2024-01-08,1,1004,0,0,0,24,21.48,9,73
2024-01-08,1,1005,1,0,1,24,26.76,9,70
2024-01-08,1,1006,3,3,0,24,25.81,6,86
2024-01-08,1,1007,1,1,0,24,12.25,10,88
2024-01-08,1,1008,2,2,0,24,29.15,8,81
2024-01-08,1,1009,2,2,0,24,11.7,6,78
2024-01-08,1,1010,1,1,0,24,14.11,8,82
2024-01-08,1,1011,3,3,0,24,19.19,6,88
2024-01-08,1,1012,0,0,0,24,14.76,4,83
2024-01-08,1,1013,6,5,1,24,17.26,6,77
2024-01-08,1,1014,1,0,1,24,24.33,6,75
2024-01-08,1,1015,0,0,0,24,30.5,8,85
2024-01-08,1,1016,1,1,0,24,19.08,8,59
2024-01-08,1,1017,2,2,0,24,33.13,4,89
2024-01-08,1,1018,5,5,0,24,18.65,10,74
2024-01-08,1,1019,3,3,0,24,27.32,6,60
2024-01-08,1,1020,1,1,0,24,19.75,6,80
2024-01-08,2,1001,0,0,0,24,15.72,4,78
2024-01-08,2,1002,2,2,0,24,22.08,7,86
2024-01-08,2,1003,2,2,0,24,22.63,5,87
2024-01-08,2,1004,2,2,0,24,27.08,6,73
2024-01-08,2,1005,4,4,0,24,24.29,9,84
2024-01-08,2,1006,0,0,0,24,20.12,3,80
2024-01-08,2,1007,1,0,1,24,19.58,3,64
2024-01-08,2,1008,1,1,0,24,19.38,2,76
2024-01-08,2,1009,1,1,0,24,24.23,5,79
2024-01-08,2,1010,3,3,0,24,23.62,5,78
2024-01-08,2,1011,2,2,0,24,22.96,10,85
2024-01-08,2,1012,1,0,1,24,10.52,7,83
2024-01-08,2,1013,1,1,0,24,26.22,9,87
2024-01-08,2,1014,2,2,0,24,16.68,9,68
2024-01-08,2,1015,3,2,1,24,18.72,6,72
2024-01-08,2,1016,3,3,0,24,14.98,7,79
2024-01-08,2,1017,1,1,0,24,33.19,4,100
2024-01-08,2,1018,1,1,0,24,21.4,5,60
2024-01-08,2,1019,1,1,0,24,23.4,6,97
2024-01-08,2,1020,4,4,0,24,28.51,10,85
2024-01-08,3,1001,5,4,1,24,17.94,3,82
2024-01-08,3,1002,1,1,0,24,38.06,8,87
2024-01-08,3,1003,1,1,0,24,26.67,2,81
2024-01-08,3,1004,1,1,0,24,13.25,1,61
2024-01-08,3,1005,3,3,0,24,28.59,9,97
2024-01-08,3,1006,3,3,0,24,28.73,4,94
2024-01-08,3,1007,1,1,0,24,20.35,5,74
2024-01-08,3,1008,1,1,0,24,20.15,6,87
2024-01-08,3,1009,4,4,0,24,20.53,7,92
2024-01-08,3,1010,0,0,0,24,20.46,5,73
2024-01-08,3,1011,1,1,0,24,13.34,5,69
2024-01-08,3,1012,1,0,1,24,16.27,6,66
2024-01-08,3,1013,1,1,0,24,21.17,8,86
2024-01-08,3,1014,2,2,0,24,29.0,2,81
2024-01-08,3,1015,2,2,0,24,19.97,8,84
2024-01-08,3,1016,2,1,1,24,19.75,9,91
2024-01-08,3,1017,0,0,0,24,16.9,3,61
2024-01-08,3,1018,2,1,1,24,22.1,7,97
2024-01-08,3,1019,2,2,0,24,34.08,5,86
2024-01-08,3,1020,4,4,0,24,28.78,8,82
2024-01-09,1,1001,2,2,0,24,21.04,5,77
2024-01-09,1,1002,2,2,0,24,15.43,3,82
2024-01-09,1,1003,0,0,0,24,24.15,7,90
2024-01-09,1,1004,2,2,0,24,18.29,4,66
2024-01-09,1,1005,4,4,0,24,27.62,6,75
2024-01-09,1,1006,4,4,0,24,25.46,3,65
2024-01-09,1,1007,4,3,1,24,31.5,8,65
2024-01-09,1,1008,1,1,0,24,17.87,6,79
2024-01-09,1,1009,2,2,0,24,29.91,4,100
2024-01-09,1,1010,2,2,0,24,19.11,7,75
2024-01-09,1,1011,0,0,0,24,33.51,5,69
2024-01-09,1,1012,2,2,0,24,22.18,5,60
2024-01-09,1,1013,2,2,0,24,29.32,10,69
2024-01-09,1,1014,1,1,0,24,19.49,6,64
